target_enterprise_value,arr_multiple,required_arr,monthly_price,required_subscribers
20000000.0,4.0,5000000.0,10.0,41667
20000000.0,4.0,5000000.0,19.0,21930
20000000.0,4.0,5000000.0,29.0,14368
20000000.0,4.0,5000000.0,49.0,8504
20000000.0,4.0,5000000.0,79.0,5275
20000000.0,4.0,5000000.0,99.0,4209
20000000.0,5.0,4000000.0,10.0,33334
20000000.0,5.0,4000000.0,19.0,17544
20000000.0,5.0,4000000.0,29.0,11495
20000000.0,5.0,4000000.0,49.0,6803
20000000.0,5.0,4000000.0,79.0,4220
20000000.0,5.0,4000000.0,99.0,3368
20000000.0,6.0,3333333.3333333335,10.0,27778
20000000.0,6.0,3333333.3333333335,19.0,14620
20000000.0,6.0,3333333.3333333335,29.0,9579
20000000.0,6.0,3333333.3333333335,49.0,5669
20000000.0,6.0,3333333.3333333335,79.0,3517
20000000.0,6.0,3333333.3333333335,99.0,2806
20000000.0,8.0,2500000.0,10.0,20834
20000000.0,8.0,2500000.0,19.0,10965
20000000.0,8.0,2500000.0,29.0,7184
20000000.0,8.0,2500000.0,49.0,4252
20000000.0,8.0,2500000.0,79.0,2638
20000000.0,8.0,2500000.0,99.0,2105
