subscribers,monthly_price,mrr,arr
10,10.0,100.0,1200.0
10,19.0,190.0,2280.0
10,29.0,290.0,3480.0
10,49.0,490.0,5880.0
10,79.0,790.0,9480.0
10,99.0,990.0,11880.0
25,10.0,250.0,3000.0
25,19.0,475.0,5700.0
25,29.0,725.0,8700.0
25,49.0,1225.0,14700.0
25,79.0,1975.0,23700.0
25,99.0,2475.0,29700.0
50,10.0,500.0,6000.0
50,19.0,950.0,11400.0
50,29.0,1450.0,17400.0
50,49.0,2450.0,29400.0
50,79.0,3950.0,47400.0
50,99.0,4950.0,59400.0
100,10.0,1000.0,12000.0
100,19.0,1900.0,22800.0
100,29.0,2900.0,34800.0
100,49.0,4900.0,58800.0
100,79.0,7900.0,94800.0
100,99.0,9900.0,118800.0
250,10.0,2500.0,30000.0
250,19.0,4750.0,57000.0
250,29.0,7250.0,87000.0
250,49.0,12250.0,147000.0
250,79.0,19750.0,237000.0
250,99.0,24750.0,297000.0
500,10.0,5000.0,60000.0
500,19.0,9500.0,114000.0
500,29.0,14500.0,174000.0
500,49.0,24500.0,294000.0
500,79.0,39500.0,474000.0
500,99.0,49500.0,594000.0
1000,10.0,10000.0,120000.0
1000,19.0,19000.0,228000.0
1000,29.0,29000.0,348000.0
1000,49.0,49000.0,588000.0
1000,79.0,79000.0,948000.0
1000,99.0,99000.0,1188000.0
2500,10.0,25000.0,300000.0
2500,19.0,47500.0,570000.0
2500,29.0,72500.0,870000.0
2500,49.0,122500.0,1470000.0
2500,79.0,197500.0,2370000.0
2500,99.0,247500.0,2970000.0
5000,10.0,50000.0,600000.0
5000,19.0,95000.0,1140000.0
5000,29.0,145000.0,1740000.0
5000,49.0,245000.0,2940000.0
5000,79.0,395000.0,4740000.0
5000,99.0,495000.0,5940000.0
10000,10.0,100000.0,1200000.0
10000,19.0,190000.0,2280000.0
10000,29.0,290000.0,3480000.0
10000,49.0,490000.0,5880000.0
10000,79.0,790000.0,9480000.0
10000,99.0,990000.0,11880000.0
20000,10.0,200000.0,2400000.0
20000,19.0,380000.0,4560000.0
20000,29.0,580000.0,6960000.0
20000,49.0,980000.0,11760000.0
20000,79.0,1580000.0,18960000.0
20000,99.0,1980000.0,23760000.0
